sentence,actual_label,predicted_label,confidence,correct
da vinci code sucks...,Negative,Negative,0.9999634027481079,True
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",Positive,Positive,0.9999681711196899,True
I love Harry Potter.,Positive,Positive,0.999972939491272,True
i love kirsten / leah / kate escapades and mission impossible tom as well...,Positive,Positive,0.9999732971191406,True
I hate Harry Potter..,Negative,Negative,0.9999395608901978,True
"I hate Harry Potter, that daniel wotshisface needs a fucking slap...",Negative,Negative,0.9999549388885498,True
Brokeback Mountain is fucking horrible..,Negative,Negative,0.9999594688415527,True
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",Positive,Positive,0.9999681711196899,True
My dad's being stupid about brokeback mountain...,Negative,Negative,0.9999258518218994,True
Mission Impossible 3 was excellent.,Positive,Positive,0.9999613761901855,True
"I, too, like Harry Potter..",Positive,Positive,0.9999693632125854,True
The Da Vinci Code is awesome!!,Positive,Positive,0.9999748468399048,True
dudeee i LOVED brokeback mountain!!!!,Positive,Positive,0.9999752044677734,True
"Harry Potter is good, but there's only 4 of those..",Positive,Positive,0.9999347925186157,True
"I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...",Negative,Negative,0.9999517202377319,True
dudeee i LOVED brokeback mountain!!!!,Positive,Positive,0.9999752044677734,True
"I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...",Negative,Negative,0.9999517202377319,True
"Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.",Negative,Negative,0.9999643564224243,True
I love Brokeback Mountain....,Positive,Positive,0.9999717473983765,True
friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,Negative,Negative,0.9999569654464722,True
"by the way, the Da Vinci Code sucked, just letting you know...",Negative,Negative,0.9999614953994751,True
These Harry Potter movies really suck.,Negative,Negative,0.9999580383300781,True
"Always knows what I want, not guy crazy, hates Harry Potter..",Negative,Negative,0.9999498128890991,True
i love kirsten / leah / kate escapades and mission impossible tom as well...,Positive,Positive,0.9999732971191406,True
Mission Impossible 3 was excellent.,Positive,Positive,0.9999613761901855,True
we're gonna like watch Mission Impossible or Hoot.(,Positive,Positive,0.9999747276306152,True
This quiz sucks and Harry Potter sucks ok bye..,Negative,Negative,0.9999645948410034,True
friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,Negative,Negative,0.9999569654464722,True
"Anyway, thats why I love "" Brokeback Mountain.",Positive,Positive,0.9999732971191406,True
da vinci code was an awesome movie...,Positive,Positive,0.9999704360961914,True
These Harry Potter movies really suck.,Negative,Negative,0.9999580383300781,True
Brokeback Mountain was boring.,Negative,Negative,0.9999346733093262,True
I love Brokeback Mountain.,Positive,Positive,0.9999716281890869,True
I love Harry Potter.,Positive,Positive,0.999972939491272,True
I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.,Negative,Negative,0.9999395608901978,True
Da Vinci Code sucked..,Negative,Negative,0.999963641166687,True
"I liked the first "" Mission Impossible.",Positive,Positive,0.9999685287475586,True
Ah it was nothin I love Heather shes great and I hate Will Brokeback Mountain Stites.,Negative,Positive,0.9995174407958984,False
Brokeback mountain was beautiful...,Positive,Positive,0.9999693632125854,True
The Da Vinci Code was absolutely AWESOME!,Positive,Positive,0.9999727010726929,True
00 we rode bikes to hollywood and rented brokeback mountain which was also stupid.,Negative,Negative,0.9998898506164551,True
"I, too, like Harry Potter..",Positive,Positive,0.9999693632125854,True
"I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...",Negative,Negative,0.9999517202377319,True
The Da Vinci Code is awesome..,Positive,Positive,0.999976396560669,True
Brokeback Mountain was boring.,Negative,Negative,0.9999346733093262,True
Harry Potter's awesome..,Positive,Positive,0.9999749660491943,True
da vinci code was an awesome movie...,Positive,Positive,0.9999704360961914,True
I like Mission Impossible movies because you never know who's on the right side.,Positive,Positive,0.9999583959579468,True
I like Harry Potter..,Positive,Positive,0.9999701976776123,True
Mission Impossible 3 was excellent.,Positive,Positive,0.9999613761901855,True
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,Positive,Positive,0.9999731779098511,True
"Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.",Negative,Negative,0.9999643564224243,True
BROKEBACK MOUNTAIN BOYY hahahahahaha I SUCK WEINERS!!,Negative,Negative,0.9999445676803589,True
"Harry Potter dragged Draco Malfoy ’ s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...",Negative,Negative,0.9999252557754517,True
Brokeback Mountain was so awesome.,Positive,Positive,0.9999748468399048,True
"The first Mission Impossible was awesome, and this one looks pretty good, too..",Positive,Positive,0.999969482421875,True
"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",Positive,Positive,0.9999606609344482,True
I love Brokeback Mountain....,Positive,Positive,0.9999717473983765,True
mission impossible 2 rocks!!....,Positive,Positive,0.9999560117721558,True
I hate Harry Potter.,Negative,Negative,0.9999309778213501,True
OMG I loved Brokeback Mountain!,Positive,Positive,0.9999725818634033,True
Brokeback Mountain was so awesome.,Positive,Positive,0.9999748468399048,True
3 Though I heard Da Vinci Code sucked.,Negative,Negative,0.9999614953994751,True
So Brokeback Mountain was really depressing.,Negative,Negative,0.9999536275863647,True
", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",Negative,Negative,0.9999277591705322,True
"So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.",Positive,Positive,0.999927282333374,True
Brokeback Mountain is fucking horrible..,Negative,Negative,0.9999594688415527,True
i love being a sentry for mission impossible and a station for bonkers.,Positive,Positive,0.9999728202819824,True
i LOVE brokeback mountain..,Positive,Positive,0.9999728202819824,True
Da Vinci Code sucks.,Negative,Negative,0.9999632835388184,True
the last stand and Mission Impossible 3 both were awesome movies.,Positive,Positive,0.9999675750732422,True
The Da Vinci Code sucked big time.,Negative,Negative,0.9999568462371826,True
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,Positive,Positive,0.9999713897705078,True
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,Positive,Positive,0.9999713897705078,True
I love Harry Potter.,Positive,Positive,0.999972939491272,True
man i loved brokeback mountain!,Positive,Positive,0.9999727010726929,True
"Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.",Negative,Negative,0.9999643564224243,True
I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.,Negative,Negative,0.9999395608901978,True
"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",Negative,Negative,0.999908447265625,True
I love Harry Potter.,Positive,Positive,0.999972939491272,True
"Always knows what I want, not guy crazy, hates Harry Potter..",Negative,Negative,0.9999498128890991,True
"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",Negative,Negative,0.9999499320983887,True
These Harry Potter movies really suck.,Negative,Negative,0.9999580383300781,True
"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",Positive,Positive,0.9999735355377197,True
"Anyway, thats why I love "" Brokeback Mountain.",Positive,Positive,0.9999732971191406,True
"Harry Potter dragged Draco Malfoy ’ s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...",Negative,Negative,0.9999252557754517,True
I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.,Negative,Negative,0.9999395608901978,True
Love luv lubb the Da Vinci Code!,Positive,Positive,0.9999715089797974,True
"Oh, and Brokeback Mountain is a TERRIBLE movie...",Negative,Negative,0.9999539852142334,True
The Da Vinci Code is an awesome book...,Positive,Positive,0.9999707937240601,True
Love luv lubb the Da Vinci Code!,Positive,Positive,0.9999715089797974,True
"Oh, and Brokeback Mountain was a terrible movie.",Negative,Negative,0.9999512434005737,True
"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",Negative,Negative,0.9999499320983887,True
I am going to start reading the Harry Potter series again because that is one awesome story.,Positive,Positive,0.9999700784683228,True
The Da Vinci Code sucks.,Negative,Negative,0.999962568283081,True
"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",Positive,Positive,0.9999735355377197,True
I love Harry Potter.,Positive,Positive,0.999972939491272,True
I love Harry Potter.,Positive,Positive,0.999972939491272,True
Mission Impossible 3 was excellent.,Positive,Positive,0.9999613761901855,True
I loved Mission Impossible-3..,Positive,Positive,0.9999723434448242,True
da vinci code sucks...,Negative,Negative,0.9999634027481079,True
"I liked the first "" Mission Impossible.",Positive,Positive,0.9999685287475586,True
"Oh, and Brokeback Mountain is a TERRIBLE movie...",Negative,Negative,0.9999539852142334,True
"Oh, and Brokeback Mountain is a TERRIBLE movie...",Negative,Negative,0.9999539852142334,True
I love Harry Potter.,Positive,Positive,0.999972939491272,True
"Always knows what I want, not guy crazy, hates Harry Potter..",Negative,Negative,0.9999498128890991,True
the last stand and Mission Impossible 3 both were awesome movies.,Positive,Positive,0.9999675750732422,True
Brokeback mountain was beautiful...,Positive,Positive,0.9999693632125854,True
"Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!",Negative,Negative,0.9999632835388184,True
I hate Harry Potter.,Negative,Negative,0.9999309778213501,True
Harry Potter is AWESOME I don't care if anyone says differently!..,Positive,Positive,0.999969482421875,True
"Is it just me, or does Harry Potter suck?...",Negative,Negative,0.9999535083770752,True
"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",Negative,Negative,0.9999499320983887,True
"Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.",Negative,Negative,0.9999188184738159,True
I also disliked Brokeback Mountain.,Negative,Negative,0.9996923208236694,True
Harry Potter is AWESOME I don't care if anyone says differently!..,Positive,Positive,0.999969482421875,True
I have come to the conclusion that Harry Potter is a tragic hero.....,Negative,Negative,0.9995761513710022,True
"I liked the first "" Mission Impossible.",Positive,Positive,0.9999685287475586,True
The Da Vinci Code is awesome!!,Positive,Positive,0.9999748468399048,True
Love luv lubb the Da Vinci Code!,Positive,Positive,0.9999715089797974,True
I love Harry Potter.,Positive,Positive,0.999972939491272,True
da vinci code sucks...,Negative,Negative,0.9999634027481079,True
So Brokeback Mountain was really depressing.,Negative,Negative,0.9999536275863647,True
I like Mission Impossible movies because you never know who's on the right side.,Positive,Positive,0.9999583959579468,True
i love being a sentry for mission impossible and a station for bonkers.,Positive,Positive,0.9999728202819824,True
Brokeback mountain was beautiful...,Positive,Positive,0.9999693632125854,True
I love Brokeback Mountain....,Positive,Positive,0.9999717473983765,True
I wanted desperately to love'The Da Vinci Code as a film.,Positive,Positive,0.9999732971191406,True
"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",Negative,Negative,0.999908447265625,True
Ok brokeback mountain is such a horrible movie.,Negative,Negative,0.9999488592147827,True
I love Harry Potter..,Positive,Positive,0.9999748468399048,True
"by the way, the Da Vinci Code sucked, just letting you know...",Negative,Negative,0.9999614953994751,True
mission impossible 2 rocks!!....,Positive,Positive,0.9999560117721558,True
Da Vinci Code sucked..,Negative,Negative,0.999963641166687,True
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,Positive,Positive,0.9999731779098511,True
"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",Positive,Positive,0.9999606609344482,True
"Then again, my opinion may be a bit biased because I loved the Da Vinci Code soundtrack. ).",Positive,Positive,0.9999297857284546,True
I am going to start reading the Harry Potter series again because that is one awesome story.,Positive,Positive,0.9999700784683228,True
i love kirsten / leah / kate escapades and mission impossible tom as well...,Positive,Positive,0.9999732971191406,True
i love being a sentry for mission impossible and a station for bonkers.,Positive,Positive,0.9999728202819824,True
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,Positive,Positive,0.9999713897705078,True
we're gonna like watch Mission Impossible or Hoot.(,Positive,Positive,0.9999747276306152,True
"So, the Da Vinci code was AWESOME...",Positive,Positive,0.9999747276306152,True
"After I'd read OotP for the sixth time, I was desperate for some new Harry Potter.",Positive,Positive,0.999755322933197,True
"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",Positive,Positive,0.9999735355377197,True
Da Vinci Code sucks be...,Negative,Negative,0.9999645948410034,True
"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",Positive,Positive,0.9999735355377197,True
i love kirsten / leah / kate escapades and mission impossible tom as well...,Positive,Positive,0.9999732971191406,True
"Is it just me, or does Harry Potter suck?...",Negative,Negative,0.9999535083770752,True
"Harry Potter dragged Draco Malfoy ’ s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...",Negative,Negative,0.9999252557754517,True
I hated Harry Potter.,Negative,Negative,0.9999184608459473,True
Ok brokeback mountain is such a horrible movie.,Negative,Negative,0.9999488592147827,True
"I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...",Negative,Negative,0.9999517202377319,True
The Da Vinci Code is awesome...,Positive,Positive,0.9999747276306152,True
I love Brokeback Mountain.,Positive,Positive,0.9999716281890869,True
friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,Negative,Negative,0.9999569654464722,True
"I love the Harry Potter series if you can count that as "" a "" book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",Positive,Positive,0.9999731779098511,True
da vinci code sucks...,Negative,Negative,0.9999634027481079,True
I love Harry Potter..,Positive,Positive,0.9999748468399048,True
"Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!",Negative,Negative,0.9999632835388184,True
"Always knows what I want, not guy crazy, hates Harry Potter..",Negative,Negative,0.9999498128890991,True
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,Positive,Positive,0.9999713897705078,True
"I hate the Da Vinci Code, but I may see the movie for Audrey Tautou...",Negative,Negative,0.9999222755432129,True
"I don't want to hear from some backward ass mormon, Brokeback Mountain is a terrible movie because the news(",Negative,Negative,0.9998877048492432,True
I love Harry Potter.,Positive,Positive,0.999972939491272,True
the people who are worth it know how much i love the da vinci code.,Positive,Positive,0.9999735355377197,True
""" I love you Harry Potter!",Positive,Positive,0.9999691247940063,True
The Da Vinci Code sucked big time.,Negative,Negative,0.9999568462371826,True
The Da Vinci Code sucked big time.,Negative,Negative,0.9999568462371826,True
My dad's being stupid about brokeback mountain...,Negative,Negative,0.9999258518218994,True
I love Brokeback Mountain....,Positive,Positive,0.9999717473983765,True
I hate Harry Potter.,Negative,Negative,0.9999309778213501,True
Brokeback mountain was beautiful...,Positive,Positive,0.9999693632125854,True
"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",Positive,Positive,0.9999735355377197,True
Da Vinci Code sucked..,Negative,Negative,0.999963641166687,True
Da Vinci Code sucks be...,Negative,Negative,0.9999645948410034,True
da vinci code was an awesome movie...,Positive,Positive,0.9999704360961914,True
now I dont know whether I consider Brokeback Mountain to be the shittiest movie ive watched recently.,Negative,Negative,0.9995772242546082,True
"I love the Harry Potter series if you can count that as "" a "" book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",Positive,Positive,0.9999731779098511,True
I would give you more Kudos on this blog but you had to go and talk about AWFUL brokeback mountain...,Negative,Negative,0.9999046325683594,True
friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,Negative,Negative,0.9999569654464722,True
"Oh, and Brokeback Mountain was a terrible movie.",Negative,Negative,0.9999512434005737,True
Love luv lubb the Da Vinci Code!,Positive,Positive,0.9999715089797974,True
I love Brokeback Mountain....,Positive,Positive,0.9999717473983765,True
Da Vinci Code sucks be...,Negative,Negative,0.9999645948410034,True
Ok brokeback mountain is such a horrible movie.,Negative,Negative,0.9999488592147827,True
I love The Da Vinci Code...,Positive,Positive,0.9999735355377197,True
mission impossible 2 rocks!!....,Positive,Positive,0.9999560117721558,True
mission impossible 2 rocks!!....,Positive,Positive,0.9999560117721558,True
"Harry Potter dragged Draco Malfoy ’ s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...",Negative,Negative,0.9999252557754517,True
DA VINCI CODE IS AWESOME!!,Positive,Positive,0.9999756813049316,True
man i loved brokeback mountain!,Positive,Positive,0.9999727010726929,True
DA VINCI CODE IS AWESOME!!,Positive,Positive,0.9999756813049316,True
The Da Vinci Code is awesome..,Positive,Positive,0.999976396560669,True
"My point is, Harry Potter is evil...",Negative,Negative,0.999900221824646,True
"Oh, and Brokeback Mountain was a terrible movie.",Negative,Negative,0.9999512434005737,True
The Da Vinci Code is awesome!!,Positive,Positive,0.9999748468399048,True
I like Mission Impossible movies because you never know who's on the right side.,Positive,Positive,0.9999583959579468,True
The Da Vinci Code is awesome..,Positive,Positive,0.999976396560669,True
"Is it just me, or does Harry Potter suck?...",Negative,Negative,0.9999535083770752,True
"I, too, like Harry Potter..",Positive,Positive,0.9999693632125854,True
Brokeback Mountain was boring.,Negative,Negative,0.9999346733093262,True
Mission Impossible 3 was excellent.,Positive,Positive,0.9999613761901855,True
"Brokeback Mountain was just as depressing as the first time, but I'm glad I went to see it again.",Negative,Negative,0.9997343420982361,True
dudeee i LOVED brokeback mountain!!!!,Positive,Positive,0.9999752044677734,True
I love Harry Potter.,Positive,Positive,0.999972939491272,True
"by the way, the Da Vinci Code sucked, just letting you know...",Negative,Negative,0.9999614953994751,True
"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",Positive,Positive,0.9999735355377197,True
This quiz sucks and Harry Potter sucks ok bye..,Negative,Negative,0.9999645948410034,True
da vinci code sucks...,Negative,Negative,0.9999634027481079,True
I hate Harry Potter.,Negative,Negative,0.9999309778213501,True
"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",Positive,Positive,0.9999735355377197,True
", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",Negative,Negative,0.9999277591705322,True
So Brokeback Mountain was really depressing.,Negative,Negative,0.9999536275863647,True
These Harry Potter movies really suck.,Negative,Negative,0.9999580383300781,True
"Is it just me, or does Harry Potter suck?...",Negative,Negative,0.9999535083770752,True
I am going to start reading the Harry Potter series again because that is one awesome story.,Positive,Positive,0.9999700784683228,True
"I liked the first "" Mission Impossible.",Positive,Positive,0.9999685287475586,True
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,Positive,Positive,0.9999713897705078,True
"I hate Harry Potter, that daniel wotshisface needs a fucking slap...",Negative,Negative,0.9999549388885498,True
"I liked the first "" Mission Impossible.",Positive,Positive,0.9999685287475586,True
This quiz sucks and Harry Potter sucks ok bye..,Negative,Negative,0.9999645948410034,True
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,Positive,Positive,0.9999731779098511,True
Da Vinci Code sucks be...,Negative,Negative,0.9999645948410034,True
This quiz sucks and Harry Potter sucks ok bye..,Negative,Negative,0.9999645948410034,True
mission impossible 2 rocks!!....,Positive,Positive,0.9999560117721558,True
i hated brokeback mountain.,Negative,Negative,0.9999202489852905,True
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",Positive,Positive,0.9999681711196899,True
Da Vinci Code sucks be...,Negative,Negative,0.9999645948410034,True
"I liked the first "" Mission Impossible.",Positive,Positive,0.9999685287475586,True
These Harry Potter movies really suck.,Negative,Negative,0.9999580383300781,True
"I love the Harry Potter series if you can count that as "" a "" book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",Positive,Positive,0.9999731779098511,True
Da Vinci Code sucked..,Negative,Negative,0.999963641166687,True
I love the Da Vinci Code.,Positive,Positive,0.9999706745147705,True
"Brokeback Mountain was incredibly depressing, I liked it, but it was quite depressing.",Negative,Negative,0.9998588562011719,True
I wanted desperately to love'The Da Vinci Code as a film.,Positive,Positive,0.9999732971191406,True
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,Positive,Positive,0.9999731779098511,True
Brokeback Mountain was so awesome.,Positive,Positive,0.9999748468399048,True
The Da Vinci Code sucked big time.,Negative,Negative,0.9999568462371826,True
Brokeback Mountain was boring.,Negative,Negative,0.9999346733093262,True
"da vinci code, you suck..",Negative,Negative,0.9999642372131348,True
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,Positive,Positive,0.9999731779098511,True
"Always knows what I want, not guy crazy, hates Harry Potter..",Negative,Negative,0.9999498128890991,True
I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.,Negative,Negative,0.9999395608901978,True
I love Harry Potter.,Positive,Positive,0.999972939491272,True
These Harry Potter movies really suck.,Negative,Negative,0.9999580383300781,True
"I'll be working Harry Potter weekend, which is going to suck at Suncoast, lol....",Negative,Negative,0.9999357461929321,True
the last stand and Mission Impossible 3 both were awesome movies.,Positive,Positive,0.9999675750732422,True
"Is it just me, or does Harry Potter suck?...",Negative,Negative,0.9999535083770752,True
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,Positive,Positive,0.9999731779098511,True
I love Harry Potter.,Positive,Positive,0.999972939491272,True
"by the way, the Da Vinci Code sucked, just letting you know...",Negative,Negative,0.9999614953994751,True
The Da Vinci Code is awesome..,Positive,Positive,0.999976396560669,True
"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",Negative,Negative,0.999908447265625,True
I love The Da Vinci Code...,Positive,Positive,0.9999735355377197,True
I love Brokeback Mountain....,Positive,Positive,0.9999717473983765,True
I HATED < / b > BROKEBACK MOUNTAIN < / b >!,Negative,Negative,0.9999102354049683,True
i love being a sentry for mission impossible and a station for bonkers.,Positive,Positive,0.9999728202819824,True
"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",Negative,Negative,0.999908447265625,True
Brokeback mountain was beautiful...,Positive,Positive,0.9999693632125854,True
"I hate Harry Potter, that daniel wotshisface needs a fucking slap...",Negative,Negative,0.9999549388885498,True
"I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...",Negative,Negative,0.9999517202377319,True
the people who are worth it know how much i love the da vinci code.,Positive,Positive,0.9999735355377197,True
I love Harry Potter.,Positive,Positive,0.999972939491272,True
Brokeback Mountain was an AWESOME movie.,Positive,Positive,0.9999697208404541,True
"But if Crash won the academy award, Brokeback Mountain must have sucked harder than cowboys in a pup-tent...",Negative,Negative,0.9999414682388306,True
I love Brokeback Mountain....,Positive,Positive,0.9999717473983765,True
The Da Vinci Code is awesome!!,Positive,Positive,0.9999748468399048,True
Da Vinci Code kinda sucks second time around..,Negative,Negative,0.9999654293060303,True
"Oh, and Brokeback Mountain is a TERRIBLE movie...",Negative,Negative,0.9999539852142334,True
"Just for the record, Brokeback Mountain was a terrible movie.",Negative,Negative,0.9999439716339111,True
I love hating America almost as much as I love supporting the Da Vinci Code.,Positive,Positive,0.6501633524894714,True
Ok brokeback mountain is such a horrible movie.,Negative,Negative,0.9999488592147827,True
", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",Negative,Negative,0.9999277591705322,True
I hate Harry Potter.,Negative,Negative,0.9999309778213501,True
Da Vinci Code sucks be...,Negative,Negative,0.9999645948410034,True
I love The Da Vinci Code...,Positive,Positive,0.9999735355377197,True
DA VINCI CODE IS AWESOME!!,Positive,Positive,0.9999756813049316,True
the last stand and Mission Impossible 3 both were awesome movies.,Positive,Positive,0.9999675750732422,True
The Da Vinci Code was AWESOME.,Positive,Positive,0.9999732971191406,True
Mission Impossible 3 was excellent.,Positive,Positive,0.9999613761901855,True
"From the reviews that I've read, I hear that "" Brokeback Mountain "" is extremely depressing.",Negative,Negative,0.9998962879180908,True
I am going to start reading the Harry Potter series again because that is one awesome story.,Positive,Positive,0.9999700784683228,True
mission impossible 2 rocks!!....,Positive,Positive,0.9999560117721558,True
Ok brokeback mountain is such a horrible movie.,Negative,Negative,0.9999488592147827,True
"Oh, and Brokeback Mountain is a TERRIBLE movie...",Negative,Negative,0.9999539852142334,True
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",Positive,Positive,0.9999681711196899,True
Brokeback mountain was beautiful...,Positive,Positive,0.9999693632125854,True
da vinci code is awesome..,Positive,Positive,0.9999761581420898,True
I love Brokeback Mountain....,Positive,Positive,0.9999717473983765,True
"I loathe Harry Potter, Lord of the Rings and anything else of that nature...",Negative,Negative,0.9998905658721924,True
"As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.",Negative,Negative,0.999908447265625,True
"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",Positive,Positive,0.9999735355377197,True
